claim_id,claim_text,evidence_ids,evidence_text
claim-752,[south australia] expensive electricity world,"['evidence-430265', 'evidence-540292', 'evidence-1150493', 'evidence-57888', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'global warming refers global averages amount warming varying region', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-375,3 per cent total annual global emissions carbon dioxide humans australia prod­uces 1 3 per cent 3 per cent amount emissions reductio­n effect global climate,"['evidence-51798', 'evidence-383968', 'evidence-540292', 'evidence-57888', 'evidence-35625', 'evidence-268112', 'evidence-954785', 'evidence-1080520', 'evidence-255653', 'evidence-368794', 'evidence-953766', 'evidence-626239', 'evidence-417371', 'evidence-403673', 'evidence-597452']","['2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming contributes 0 6°c', 'global warming refers global averages amount warming varying region', 'global warming debate', 'led increases mean global temperature global warming', 'less 14% observed global warming', 'four aspects global education universities india might focus global curriculum global faculty global degrees global interaction', 'global warming major threat global biodiversity', 'shows general warming global temperatures', 'complex politics global warming results numerous cofactors arising global economy interdependence carbon dioxide emitting hydrocarbon energy sources directly implicated global warming—making global warming non-traditional environmental challenge', 'regional effects global warming long-term significant changes expected patterns average weather specific region due global warming', 'accurately global warming mainly human-caused increase global surface temperatures projected continuation climate change includes global warming effects changes precipitation', 'global warming 1 5 °c', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1266,means world 1c warmer pre-industrial times,"['evidence-430265', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-1150493', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-871,“as happens zika may also good model second worrying effect — disease mutation,"['evidence-51798', 'evidence-430265', 'evidence-540292', 'evidence-383968', 'evidence-57888', 'evidence-323590', 'evidence-35625', 'evidence-210566', 'evidence-262618', 'evidence-368794', 'evidence-352729', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming refers global averages amount warming varying region', 'total increase global warming century ~0 3 °c rather catastrophic warming 3-6°c 4-11°f predicted ipcc', 'global warming debate', 'recent global warming one many natural cycles warming cooling geologic history', 'warming past century found warming similar hemispheres', 'shows general warming global temperatures', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-2164,greenland lost tiny fraction ice mass,"['evidence-430265', 'evidence-540292', 'evidence-126737', 'evidence-57888', 'evidence-1150493', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1607,co2 limits cool planet,"['evidence-430265', 'evidence-1150493', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-769578', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-311208', 'evidence-413410', 'evidence-1086865', 'evidence-338987']","['stated warming mars evidence global warming earth caused changes sun', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'greenhouse gas causing warming rate warming higher troposphere surface', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'proceed warming', 'greenhouse gas causing warming rate warming higher troposphere surface', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming']"
claim-761,[riebesell] world authority topic typically communicated cautiously effects acidification,"['evidence-430265', 'evidence-540292', 'evidence-1150493', 'evidence-57888', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'global warming refers global averages amount warming varying region', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1718,actual data show high northern latitudes warmer today 1940,"['evidence-430265', 'evidence-540292', 'evidence-1150493', 'evidence-57888', 'evidence-126737', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-1086865', 'evidence-338987', 'evidence-597452']","['stated warming mars evidence global warming earth caused changes sun', 'global warming contributes 0 6°c', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'global warming refers global averages amount warming varying region', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1273,rapid changes climate may profound consequences humans species… severe drought caused food shortages millions people ethiopia lack rainfall resulting “intense widespread” forest fires indonesia belched vast quantity greenhouse gas,"['evidence-51798', 'evidence-383968', 'evidence-540292', 'evidence-57888', 'evidence-35625', 'evidence-268112', 'evidence-954785', 'evidence-1080520', 'evidence-255653', 'evidence-368794', 'evidence-1120350', 'evidence-953766', 'evidence-417371', 'evidence-403673', 'evidence-626239', 'evidence-597452']","['2016 gallup found 64% americans worried global warming 59% believed global warming already happening 65% convinced global warming caused human activities', 'extinction risk global warming risk species becoming extinct due effects global warming', 'global warming contributes 0 6°c', 'global warming refers global averages amount warming varying region', 'global warming debate', 'led increases mean global temperature global warming', 'less 14% observed global warming', 'four aspects global education universities india might focus global curriculum global faculty global degrees global interaction', 'global warming major threat global biodiversity', 'shows general warming global temperatures', 'currently surface temperatures rising 0 2 °c per decade', 'complex politics global warming results numerous cofactors arising global economy interdependence carbon dioxide emitting hydrocarbon energy sources directly implicated global warming—making global warming non-traditional environmental challenge', 'accurately global warming mainly human-caused increase global surface temperatures projected continuation climate change includes global warming effects changes precipitation', 'global warming 1 5 °c', 'regional effects global warming long-term significant changes expected patterns average weather specific region due global warming', 'years romm wrote widely global warming energy technologies reduce global warming']"
claim-1786,cfcs contribute global waerming small level,"['evidence-430265', 'evidence-1150493', 'evidence-126737', 'evidence-57888', 'evidence-1077625', 'evidence-35625', 'evidence-262618', 'evidence-210566', 'evidence-1120350', 'evidence-352729', 'evidence-1156443', 'evidence-403673', 'evidence-311208', 'evidence-413410', 'evidence-1086865', 'evidence-338987']","['stated warming mars evidence global warming earth caused changes sun', 'changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean', 'factors may increase probability abrupt climate change include higher magnitudes global warming warming occurs rapidly warming sustained longer time periods', 'global warming refers global averages amount warming varying region', 'antarctica warming particularly strong warming noted antarctic peninsula', 'global warming debate', 'warming past century found warming similar hemispheres', 'recent global warming one many natural cycles warming cooling geologic history', 'currently surface temperatures rising 0 2 °c per decade', 'regional variation warming warming higher latitudes evidence warming anthropogenic origin', 'warming generally higher', 'global warming 1 5 °c', 'proceed warming', 'greenhouse gas causing warming rate warming higher troposphere surface', 'global warming refers warming caused human technology since 19th century earlier', 'main positive feedback global warming tendency warming increase amount water vapor atmosphere turn leads warming']"
