claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-1937,scientific evidence co2 pollutant higher co2 concentrations actually help ecosystems support plant animal life,"['evidence-442946', 'evidence-1194317', 'evidence-12171']",high concentrations 100 times atmospheric concentration greater carbon dioxide toxic animal life raising concentration 10 000 ppm 1% higher several hours eliminate pests whiteflies spider mites greenhouse plants grow much 50 percent faster concentrations 1 000 ppm co 2 compared ambient conditions though assumes change climate limitation nutrients higher carbon dioxide concentrations favourably affect plant growth demand water,DISPUTED
claim-126,el niño drove record highs global temperatures suggesting rise may man-made emissions,"['evidence-338219', 'evidence-1127398']",‘climate change’ due natural forces human activity substantial evidence indicate human activity – specifically increased greenhouse gas ghgs emissions – key factor pace extent global temperature increases acceleration due mostly human-caused global warming driving thermal expansion seawater melting land-based ice sheets glaciers,REFUTES
claim-2510,1946 pdo switched cool phase,"['evidence-530063', 'evidence-984887']",evidence reversals prevailing polarity meaning changes cool surface waters versus warm surface waters within region oscillation occurring around 1925 1947 1977 last two reversals corresponded dramatic shifts salmon production regimes north pacific ocean 1945/1946 pdo changed cool phase pattern regime shift similar 1970s episode maximum amplitude subarctic subtropical front greater signature near japan 1970s shift stronger near american west coast,SUPPORTS
claim-2021,weather channel co-founder john coleman provided evidence convincingly refutes concept anthropogenic global warming,"['evidence-1177431', 'evidence-782448', 'evidence-540069', 'evidence-352655', 'evidence-1007867']",convincing scientific evidence human release carbon dioxide methane greenhouse gases causing foreseeable future cause catastrophic heating earth atmosphere disruption earth climate called global warming greatest scam history made numerous false misleading claims climate science international council academies engineering technological sciences caets 2007 issued statement environment sustainable growth reported intergovernmental panel climate change ipcc observed global warming since mid-20th century likely due human-produced emission greenhouse gases warming continue unabated present anthropogenic emissions continue worse expand without control climate scientists virtually unanimous anthropogenic global warming true scientists reach 100% consensus anthropogenic global warming,DISPUTED
claim-2449,january 2008 capped 12 month period global temperature drops major well respected indicators,"['evidence-1010750', 'evidence-91661', 'evidence-722725', 'evidence-554161', 'evidence-430839']",average temperature +8 1 °c 47 °f iranian persian calendar currently used iran afghanistan also 12 months events wide variations month year year average duration 365 256363004 days 365 6 h 9 min 9 76 epoch j2000 0 january 1 2000 12 00 00 tt duration approximately 354 37 days,NOT_ENOUGH_INFO
claim-851,last time planet even four degrees warmer peter brannen points ends world new history planet’s major extinction events oceans hundreds feet higher,"['evidence-226174', 'evidence-1049316', 'evidence-358301', 'evidence-493329', 'evidence-610497']",sea levels high worldwide much land lay shallow seas tropical reef organisms lived elevation land surface varies low point −418 −1 371 ft dead sea maximum altitude 8 848 29 029 ft top mount everest result mean annual air temperature sea level decreases 0 4 °c 0 7 °f per degree latitude equator early middle ordovician temperatures mild beginning late ordovician 460 450 volcanoes along margin iapetus ocean spewed massive amounts carbon dioxide greenhouse gas atmosphere turning planet hothouse ordovician saw highest sea levels paleozoic low relief continents led many shelf deposits formed hundreds metres water,NOT_ENOUGH_INFO
claim-2773,tree-ring proxy reconstructions reliable 1960 tracking closely instrumental record independent proxies,"['evidence-974673', 'evidence-602109']",deviation tree ring proxy measurements instrumental record since 1950s raises question reliability tree ring proxies period instrumental temperature record instrumental records 1850 temperatures must reconstructed based proxy methods,DISPUTED
claim-949,ambitious scenarios found strong likelihood antarctica would remain fairly stable ”,"['evidence-707654', 'evidence-28478', 'evidence-491579']",sheet recent concern small possibility collapse climate model projections summarized report indicated 21st century global surface temperature likely rise 0 3 1 7 °c 0 5 3 1 °f moderate scenario much 2 6 4 8 °c 4 7 8 6 °f extreme scenario depending rate future greenhouse gas emissions climate feedback effects pledges made part cancún agreements broadly consistent cost-effective scenarios give likely chance 66-100% probability limiting global warming 2100 3 °c relative pre-industrial levels,DISPUTED
claim-1019,additional kick supplied el niño weather pattern peaked 2016 temporarily warmed much surface planet causing hottest year historical record dating 1880,"['evidence-863309', 'evidence-61462', 'evidence-639818', 'evidence-757821', 'evidence-263527']",el niño associated warm wet weather months april–october along coasts northern peru ecuador causing major flooding whenever event strong extreme however time term evolved refers warm negative phase el niño–southern oscillation warming ocean surface above-average sea surface temperatures either central eastern tropical pacific ocean scientists also found chemical signatures warmer sea surface temperatures increased rainfall caused el niño coral specimens around 13 000 years old event temporarily warmed air temperature 1 5 °c compared usual increase 0 25 °c associated el niño events la niña positive cold phase el niño–southern oscillation associated cooler-than-average sea surface temperatures central eastern tropical pacific ocean,NOT_ENOUGH_INFO
claim-2834,stomata-derived co2 red compared ice core-derived co2 blue stomata generally show much variability atmospheric co2 level often show levels much higher ice cores,['evidence-439640'],one study using evidence stomata fossilized leaves suggests greater variability carbon dioxide mole fractions 300 ppm period seven ten thousand years ago though others argued findings likely reflect calibration contamination problems rather actual co 2 variability,SUPPORTS
