claim_id,claim_text,evidence_id,evidence_text,claim_label
claim-752,[south australia] expensive electricity world,"['evidence-67732', 'evidence-572512']",[citation needed] south australia highest retail price electricity country south australia highest power prices world,SUPPORTS
claim-375,3 per cent total annual global emissions carbon dioxide humans australia prod­uces 1 3 per cent 3 per cent amount emissions reductio­n effect global climate,"['evidence-996421', 'evidence-1080858', 'evidence-208053', 'evidence-699212', 'evidence-832334']",2011 unep green economy report states [a]agricultural operations excluding land use changes produce approximately 13 per cent anthropogenic global ghg emissions market share 30% potentially clean electricity heat pumps could reduce global co 2 emissions 8% annually modern era emissions atmosphere volcanoes approximately 0 645 billion tonnes co 2 per year whereas humans contribute 29 billion tonnes co 2 year cumulative anthropogenic e human-emitted emissions co 2 fossil fuel use major cause global warming give indication countries contributed human-induced climate change countries fast growing emissions south korea iran australia apart oil rich persian gulf states highest percapita emission rate world,NOT_ENOUGH_INFO
claim-1266,means world 1c warmer pre-industrial times,"['evidence-889933', 'evidence-694262']",multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900 planet 0 8 °c warmer pre-industrial times,SUPPORTS
claim-871,“as happens zika may also good model second worrying effect — disease mutation,"['evidence-422399', 'evidence-702226', 'evidence-286834', 'evidence-472751', 'evidence-641043']",genetic disorders result deleterious mutations due spontaneous mutation affected individual inherited errors called mutations affect phenotype organism especially occur within protein coding sequence gene especially useful studying diseases adults allowing expression certain period growth thus eliminating deleterious effect gene expression seen stages development model organisms addition research needed determine mechanism zika produced effects zika also appears equal tropism cells developing eye leading high rates eye abnormalities well,NOT_ENOUGH_INFO
claim-2164,greenland lost tiny fraction ice mass,"['evidence-52981', 'evidence-264761', 'evidence-947243', 'evidence-424102']",iceberg calving happened average greenland lost 294 gt mass 2007 one km3 ice weighs 0 9 gt findings show greenland lost 3 8 trillion tonnes ice since 1992 enough raise sea levels almost 11mm 1 06cm greenland glaciers losing ice much faster study says 2010 mountain lost 80 percent ice — two-thirds since another scientific expedition 1970s,REFUTES
claim-1607,co2 limits cool planet,"['evidence-913997', 'evidence-955328', 'evidence-401235', 'evidence-915569', 'evidence-370378']",less energy reaches upper atmosphere therefore cooler absorption occupational co 2 exposure limits set united states 0 5% 5000 ppm eight-hour period temperature rises closer value white daisies like white daisies outreproduce black daisies leading larger percentage white surface sunlight reflected reducing heat input eventually cooling planet global warming long-term rise average temperature earth climate system cloud cover increases sunlight reflected back space cooling planet,NOT_ENOUGH_INFO
claim-761,[riebesell] world authority topic typically communicated cautiously effects acidification,"['evidence-1129386', 'evidence-456747', 'evidence-625922', 'evidence-590068', 'evidence-741718']",perhaps one recent adverse effects climate change explored ocean acidification climate change accurate scientifically describe various effects greenhouse gases world includes extreme weather storms changes rainfall patterns ocean acidification sea level direction magnitude effects ocean acidification warming deoxygenation ocean quantified meta-analyses tested mesocosm studies 2013 meta‐analysis reveals complex marine biological responses interactive effects ocean acidification warming informed chemical oceanography studies behavior elements molecules within oceans particularly moment ocean role carbon cycle carbon dioxide role increasing acidification seawater,NOT_ENOUGH_INFO
claim-1718,actual data show high northern latitudes warmer today 1940,"['evidence-857561', 'evidence-1150493']",however expected future warming follow similar geographical pattern seen already greatest warming land high northern latitudes least southern ocean parts north atlantic ocean changes regional climate expected include greater warming land warming high northern latitudes least warming southern ocean parts north atlantic ocean,SUPPORTS
claim-1273,rapid changes climate may profound consequences humans species… severe drought caused food shortages millions people ethiopia lack rainfall resulting “intense widespread” forest fires indonesia belched vast quantity greenhouse gas,"['evidence-659559', 'evidence-181656', 'evidence-499929', 'evidence-354699']",according wwf combination climate change deforestation increases drying effect dead trees fuels forest fires recurring droughts leading desertification east africa created grave ecological catastrophes prompting food shortages 1984–85 2006 2011 17-year-long civil war along severe drought negatively impacted ethiopia environmental conditions leading even greater habitat degradation primary cause famine one largest seen country ethiopia surrounding horn still recovering droughts occurred mid-late 1970s,SUPPORTS
claim-1786,cfcs contribute global waerming small level,"['evidence-845527', 'evidence-105411', 'evidence-323167']",hydrofluorocarbons included kyoto protocol high global warming potential facing calls regulated montreal protocol[dubious – discuss] due recognition halocarbon contributions climate change however hydrochlorofluorocarbons hcfcs hydrofluorocarbons hfcs thought contribute anthropogenic global warming however greenhouse gases high global warming potential gwp comparable cfcs hcfcs,REFUTES
claim-2796,used currently accepted value approximately 3°c warming doubling atmospheric co2 hansen would correctly projected ensuing global warming,['evidence-210167'],alternate scenario would keep warming climate sensitivity 3 °c doubled co 2,SUPPORTS
claim-2580,volcanoes emit around 0 3 billion tonnes co2 per year,"['evidence-15399', 'evidence-243372']",volcano produces 400 000 ± 100 000 tonnes per year 400 000 ± 100 000 t/a co 2 0 2–0 6% worldwide co 2 flux subaerial volcanoes volcanic activity releases 130 230 teragrams 145 million 255 million short tons carbon dioxide year,DISPUTED
claim-1219,global warming driving major melting surface greenland’s glaciers speeding travel sea ”,"['evidence-88825', 'evidence-1127398', 'evidence-1115033']",surface temperature increases greatest arctic contributed retreat glaciers permafrost sea ice acceleration due mostly human-caused global warming driving thermal expansion seawater melting land-based ice sheets glaciers global warming could lead increase freshwater northern oceans melting glaciers greenland increasing precipitation especially siberian rivers,SUPPORTS
claim-75,science clear climate change making extreme weather events including tornadoes worse,"['evidence-940688', 'evidence-985094', 'evidence-8304', 'evidence-653981', 'evidence-789848']",main impact global warming weather increase extreme weather events heat waves droughts cyclones blizzards rainstorms documented long-term climate changes include changes arctic temperatures ice widespread changes precipitation amounts ocean salinity wind patterns extreme weather including droughts heavy precipitation heat waves intensity tropical cyclones earth climate warms seeing many changes stronger destructive hurricanes heavier rainfall disastrous flooding areas world experiencing severe drought heat waves could lead changing emissions scenarios unpredictable weather patterns around world less frost days extreme events droughts storm flood disasters warmer sea temperatures melting glaciers causing sea levels rise climate change caused human activities emit greenhouse gases air expected affect frequency extreme weather events drought extreme temperatures flooding high winds severe storms,SUPPORTS
claim-2813,fact authors go estimate climate sensitivity findings calculate value 2 3 4 1°c,"['evidence-679700', 'evidence-158204', 'evidence-1049371', 'evidence-358515', 'evidence-920160']",ipcc literature assessment estimates tcr likely lies 1 °c 2 5 °c constant humidity computed climate sensitivity 2 3 °c per doubling co2 rounded 2 value often quoted work abstract paper 1990 ipcc first assessment report estimated equilibrium climate sensitivity doubling co 2 lay 1 5 4 5 °c 2 7 8 1 °f best guess light current knowledge 2 5 °c 4 5 °f ipcc authors concluded ecs likely greater 1 5 °c 2 7 °f likely lie range 2 4 5 °c 4 8 1 °f likely value 3 °c 5 °f ipcc fifth assessment report reverted earlier range 1 5 4 5 °c 2 7 8 1 °f high confidence estimates using industrial-age data came low,DISPUTED
claim-2335,satellite measurements infrared spectra past 40 years observe less energy escaping space wavelengths associated co2,"['evidence-327103', 'evidence-740261', 'evidence-1085966', 'evidence-701021', 'evidence-472543']",cosmic-temperature measurements vlt detected first time carbon-monoxide molecules galaxy located almost 11 billion light-years away lwir 8–15 μm region especially useful since radiation wavelengths escape space atmosphere three channels use frequency different carbon dioxide cell pressure corresponding weighting functions peaks 29 km channel 1 37 km channel 2 45 km channel 3 process deriving trends ssus measurement proved particularly difficult satellites drift inter-calibration different satellite scant overlap gas leak instrument carbon dioxide pressure cell furthermore since radiances measured ssus due emission carbon dioxide weighting functions move higher altitudes carbon dioxide concentration stratosphere increase measure radiances various wavelength bands,NOT_ENOUGH_INFO
claim-161,extreme melting changes climate like released pressure continent allowing ground rise,['evidence-702708'],gravitational effects comes play large ice sheet melts,SUPPORTS
claim-2243,co2 amplifies warming mixes atmosphere spreading warming throughout planet,"['evidence-993522', 'evidence-1007525', 'evidence-368192', 'evidence-991415']",greenhouse effect process thermal radiation planetary atmosphere warms planet surface beyond temperature would absence atmosphere absorption infrared light vibrational frequencies atmospheric carbon dioxide traps energy near surface warming surface lower atmosphere increases atmospheric concentrations co 2 long-lived greenhouse gases methane nitrous oxide ozone correspondingly strengthened absorption emission infrared radiation causing rise average global temperature since mid-20th century water vapor greenhouse gas results warming positive feedback amplifies original warming,SUPPORTS
claim-1256,‘next year year arctic free ice’,"['evidence-731434', 'evidence-39028', 'evidence-1107462', 'evidence-954212', 'evidence-957020']",research shows arctic may become ice-free summer first time human history 2040 expert predicts ice-free arctic 2020 un releases climate report us navy predicts summer ice free arctic 2016 current projected consequences global warming include largely ice-free arctic ocean within 5–20 years see arctic shrinkage reports also predicted within decades arctic ocean entirely free ice summer,DISPUTED
