claim_id,claim_text
claim-2967,contribution waste heat global climate 0 028 w/m2
claim-979,“warm weather worsened recent five-year drought included driest four-year period record terms statewide precipitation
claim-1609,greenland lost tiny fraction ice mass
claim-1020,“the global reef crisis necessarily mean extinction coral species
claim-2599,small amounts active substances cause large effects
claim-2110,changed name global warming climate change
claim-1135,scientists confirm mass bleaching event great barrier reef year killed corals ever two thirds destroyed across large swathes biodiverse site
claim-712,“instead three-foot increase ocean levels end century six feet likely according deconto pollard’s findings
claim-1307,new study scientists australian research council finds ongoing bleaching event mainly due human-caused global warming global warming proceeds currently expected “large parts” great barrier reef could die mid-2030s
claim-148,previous ipcc reports tended assume clouds would neutral impact warming cooling feedbacks would cancel
claim-903,growers regularly pump co2 greenhouses raising levels three times natural environment produce stronger greener healthier plants ”
claim-2942,it’s usually taken fact carbon dioxide concentrations atmosphere increase 1 per cent co2 that’s heavier carbon isotope ratio c13 declines proportion
claim-1001,‘this study goes beyond statistical correlations explores specific process plausibly explain enhanced high-latitude warming trends may trigger remote weather impacts ’ said
claim-1034,odds correctly guessing outcome flipped coin 1 2 odds guessing correctly twice row 1 4 —
claim-1009,‘arctic ice conditions tracking record low conditions since october persisting six consecutive months’
claim-770,[co2] increased 43 percent pre-industrial level far
claim-3074,fourth assessment report ar4 likely range given 2 0°c 4 5°c best estimate 3 0°c pat michaels
claim-1761,multiple lines evidence make clear rise atmospheric co2 due human emissions
claim-1475,500 scientists professionals climate related fields sent european climate declaration secretary-general united nations
claim-477,scientists say halting deforestation ‘just urgent’ reducing emissions
claim-1378,antarctica gaining land-based ice according new study nasa scientists published journal glaciology
claim-503,“during sunless winter heatwave raised concerns polar vortex may eroding
claim-2751,argument solving global warming problem reducing human greenhouse gas emissions hard generally stems belief technology sufficiently advanced achieve significant emissions reductions
claim-2575,last 30-40 years 80% coral caribbean destroyed 50% indonesia pacific
claim-30,bushfires [in australia] caused arsonists series lightning strikes climate change
claim-2994,mauna loa producing readout supports manning predetermined goal showing steady growth atmospheric co2 concentrations since 1959
claim-55,[t]he raw data actual thermometer data[ shows us cooling 80 90 years
claim-1271,greenland ice sheet … would balloon sea levels around 7m disintegrate
claim-2248,climate sensitivity calculated empirically comparing past temperature change natural forcings time
claim-532,never mind emissions carbon dioxide make maintain wind solar industrial complex far greater ever save
claim-556,april low temperatures 6 degrees fahrenheit warmer used
claim-1173,[…]until develop practical cost-competitive alternative fossil fuels unlikely renewable energy ever make 15-20% global energy requirements
claim-539,note earth never history quasi-stable state around 2c warmer preindustrial suggest substantial risk system ‘want’ continue warming processes – even stop emissions ” said
claim-893,france g7 countries lamented u exit paris climate accord america’s air already cleaner country g7 except canada scant population
claim-2857,weather chaotic air light low friction viscosity expands strongly contact hot surfaces conducts heat poorly
claim-109,local regional sea levels continue exhibit typical natural variability—in places rising others falling
claim-2476,global dimming trend reversed around 1990 15 years global warming trend began mid 1970
claim-3038,clearly factors besides atmospheric carbon influence earth temperatures global warming
claim-3127,skeptics hope postma’s alternative thermal model lead birth new climatology one actually follows laws physics properly physical modeling techniques
claim-474,sea ice continued declining trend arctic antarctic
claim-2464,natural forcings account much early 20th century warming humans played role well
claim-2427,time co2 emissions already risen expanded use coal powered industrial revolution emissions increased slowly 3 5gigatonnes 1910 4gigatonnes end second world war
claim-2167,royal society embraces skepticism
claim-812,human contribution 30 percent total rainfall coming storm
claim-2590,argument originates angstrom work 1901
claim-404,actual weather records past 100 years show correlation rising carbon dioxide levels local temperatures
claim-2977,according study carbon levels risen cold air high altitudes tropics actually grown colder
claim-2673,changed name “global warming” “climate change” term global warming wasn’t working cold
claim-2509,1905 pdo switched warm phase
claim-138,result half people surveyed around world last year said thought climate change would make humanity extinct
claim-952,alaskan tundra warming quickly become net emitter carbon dioxide ahead schedule new study finds
claim-1691,sea level rise increasing faster predicted due unexpectedly rapid ice melting
claim-1741,volcanoes warming effect recent global warming anything cooling effect
claim-1202,discrepancy model-predicted warming lower real-world observations inspired new respect natural climate variability relative greenhouse-gas forcing
claim-1028,second coat paint much less effect adding third fourth coat almost impact ”
claim-28,volcanoes melting west antarctic glaciers global warming
claim-275,temperature increases began slow 1998 remained relatively stable period 15 years
claim-350,since 1965 parts u seen decrease flooding seen increase
claim-2204,indicators show global warming still happening
claim-1604,co2 increase natural human-caused
