claim_id,claim_text,evidence_id,evidence_text
claim-752,['[south australia] expensive electricity world'],"['evidence-1567', 'evidence-140462', 'evidence-989499', 'evidence-304264', 'evidence-779876']","['colonists including thomas jefferson began research confirm warming', 'likely person though difficult confirm certain', 'record label put press release confirm deal', 'game mode x button used confirm orders', 'national congress called confirm result']"
claim-375,['3 per cent total annual global emissions carbon dioxide humans australia prod\xaduces 1 3 per cent 3 per cent amount emissions reductio\xadn effect global climate'],"['evidence-742972', 'evidence-68000', 'evidence-508805', 'evidence-1087424', 'evidence-1191135']","['0 ° c freezing point water celsius scale', 'celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'nepal temperature risen 0 6 degrees celsius last decade whereas globally earth warmed approximately 0 7 degrees celsius last hundred years', 'helicobacter typhlonius grow 37 degrees celsius well 42 degrees celsius however cannot grown 25 degrees celsius presence 1 5% sodium chloride', '1742 anders celsius swedish astronomer proposed centigrade temperature scale predecessor current celsius scale']"
claim-1266,['means world 1c warmer pre-industrial times'],"['evidence-722375', 'evidence-913789', 'evidence-19385', 'evidence-724010', 'evidence-96775']","['induced aggravated human activities e g', '2012 attributed 2010 moscow 2011 texas heat waves human-induced global warming', 'vahrenholt belongs minority skeptical human-induced global warming', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'mitigation policies substantially reduce risks associated human-induced global warming']"
claim-871,['“as happens zika may also good model second worrying effect — disease mutation'],"['evidence-1080520', 'evidence-913789', 'evidence-19385', 'evidence-724010', 'evidence-96775']","['four aspects global education universities india might focus global curriculum global faculty global degrees global interaction', '2012 attributed 2010 moscow 2011 texas heat waves human-induced global warming', 'vahrenholt belongs minority skeptical human-induced global warming', 'global change research program concluded [global] warming unequivocal primarily human-induced', 'mitigation policies substantially reduce risks associated human-induced global warming']"
claim-2164,['greenland lost tiny fraction ice mass'],"['evidence-8189', 'evidence-121500', 'evidence-722375', 'evidence-143084', 'evidence-865377']","['human-induced forcings needed reproduce late-20th century warming', 'human-induced warming associated sea level rises expected continue 21st century', 'induced aggravated human activities e g', 'human-induced warming climate expected continue throughout 21st century beyond', 'penetration human-induced warming world oceans']"
claim-1607,['co2 limits cool planet'],"['evidence-8189', 'evidence-121500', 'evidence-143084', 'evidence-846906', 'evidence-865377']","['human-induced forcings needed reproduce late-20th century warming', 'human-induced warming associated sea level rises expected continue 21st century', 'human-induced warming climate expected continue throughout 21st century beyond', 'warming likely human-made', 'penetration human-induced warming world oceans']"
claim-761,['[riebesell] world authority topic typically communicated cautiously effects acidification'],"['evidence-413410', 'evidence-182430', 'evidence-403673', 'evidence-769578', 'evidence-114562']","['greenhouse gas causing warming rate warming higher troposphere surface', 'cooling contributed towards recent global warming hiatus surface temperatures would change enhanced surface warming next phase oscillation', 'global warming 1 5 °c', 'greenhouse gas causing warming rate warming higher troposphere surface', 'report also said current atmospheric data sets show global-average warming similar surface warming']"
claim-1718,['actual data show high northern latitudes warmer today 1940'],"['evidence-570183', 'evidence-233177', 'evidence-322303', 'evidence-889933', 'evidence-898614', 'evidence-72690']","['climate data', 'important climate', 'climate also referred mountain climate highland climate', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'people regard climate change catastrophic irreversible rapid might label climate change climate crisis climate emergency', 'climate change']"
claim-1273,['rapid changes climate may profound consequences humans species… severe drought caused food shortages millions people ethiopia lack rainfall resulting “intense widespread” forest fires indonesia belched vast quantity greenhouse gas'],"['evidence-988909', 'evidence-742972', 'evidence-68000', 'evidence-889933', 'evidence-1087424', 'evidence-1191135']","['paris agreement aims combat global climate change keeping global temperature rise century well 2 degrees celsius pursue efforts limit temperature increase even 1 5 degrees celsius', '0 ° c freezing point water celsius scale', 'celsius family swedish family anders celsius inventor celsius temperature scale belongs', 'multiple independently produced instrumental datasets confirm 2009–2018 decade 0 93 ± 0 07 °c warmer pre-industrial baseline 1850–1900', 'helicobacter typhlonius grow 37 degrees celsius well 42 degrees celsius however cannot grown 25 degrees celsius presence 1 5% sodium chloride', '1742 anders celsius swedish astronomer proposed centigrade temperature scale predecessor current celsius scale']"
claim-1786,['cfcs contribute global waerming small level'],"['evidence-232147', 'evidence-130644', 'evidence-411279', 'evidence-403100', 'evidence-890592', 'evidence-361245']","['however record surface temperature near-surface temperature 1 5 meter used surface weather observations', 'since 1950 number cold days nights decreased number warm days night increased', 'corvus uk service designation outfit ulc lightweight quick reaction system self-defence surface vessels surface-to-surface air-to-surface missiles', 'image 2d surface changes surface rotates', 'sediment contamination surface water common surface mining', 'four surfaces anterior surface orbital superior surface nasal medial surface infratemporal posterior surface']"
